date,time,open,high,low,close,volume
2020-01-01,09:15:00,32237.9,32347.5,32132.3,32139.2,0
2020-01-01,10:15:00,32142.55,32188.05,32091.45,32111.7,0
2020-01-01,11:15:00,32115.25,32150.85,32075.2,32147.55,0
2020-01-01,12:15:00,32147.1,32164.25,32058.55,32095.9,0
2020-01-01,13:15:00,32097.0,32168.25,32080.55,32102.75,0
2020-01-01,14:15:00,32102.0,32120.6,32062.1,32103.8,0
2020-01-01,15:15:00,32102.6,32135.55,32086.7,32128.9,0
2020-01-02,09:15:00,32133.15,32255.3,32132.95,32172.75,0
2020-01-02,10:15:00,32170.1,32234.6,32167.25,32190.3,0
2020-01-02,11:15:00,32192.15,32281.05,32191.4,32276.95,0
2020-01-02,12:15:00,32275.5,32296.15,32232.2,32272.2,0
2020-01-02,13:15:00,32273.1,32359.35,32265.8,32348.35,0
2020-01-02,14:15:00,32348.7,32462.05,32348.7,32453.55,0
2020-01-02,15:15:00,32455.2,32463.1,32425.95,32432.65,0
2020-01-03,09:15:00,32326.95,32326.95,32159.05,32218.95,0
2020-01-03,10:15:00,32219.55,32257.65,32102.65,32139.6,0
2020-01-03,11:15:00,32137.75,32161.0,32060.7,32076.3,0
2020-01-03,12:15:00,32078.15,32123.8,32035.25,32102.45,0
2020-01-03,13:15:00,32101.65,32106.5,32020.95,32023.75,0
2020-01-03,14:15:00,32024.55,32082.55,31962.25,32058.55,0
2020-01-03,15:15:00,32058.1,32110.55,32058.1,32077.8,0
2020-01-06,09:15:00,31910.45,31910.45,31495.75,31586.4,0
2020-01-06,10:15:00,31585.45,31598.2,31478.75,31487.0,0
2020-01-06,11:15:00,31485.9,31486.85,31356.7,31392.05,0
2020-01-06,12:15:00,31388.55,31428.05,31319.55,31357.45,0
2020-01-06,13:15:00,31355.65,31389.9,31254.6,31256.05,0
2020-01-06,14:15:00,31256.05,31321.95,31171.95,31240.85,0
2020-01-06,15:15:00,31242.2,31260.7,31223.3,31228.7,0
2020-01-07,09:15:00,31598.05,31850.05,31586.4,31729.8,0
2020-01-07,10:15:00,31728.45,31734.15,31407.25,31435.8,0
2020-01-07,11:15:00,31434.0,31549.1,31400.5,31490.95,0
2020-01-07,12:15:00,31491.7,31492.85,31260.15,31298.35,0
2020-01-07,13:15:00,31294.6,31392.35,31201.5,31326.9,0
2020-01-07,14:15:00,31329.05,31403.9,31289.2,31403.9,0
2020-01-07,15:15:00,31402.45,31443.35,31398.8,31400.95,0
2020-01-08,09:15:00,30995.5,31350.25,30902.6,31201.4,0
2020-01-08,10:15:00,31203.8,31298.05,31106.3,31119.45,0
2020-01-08,11:15:00,31116.5,31144.15,31050.5,31094.65,0
2020-01-08,12:15:00,31093.9,31282.75,31078.3,31197.1,0
2020-01-08,13:15:00,31195.35,31360.85,31152.4,31282.35,0
2020-01-08,14:15:00,31284.25,31448.65,31224.95,31372.35,0
2020-01-08,15:15:00,31371.25,31397.9,31347.75,31355.3,0
2020-01-09,09:15:00,31748.25,31883.3,31706.1,31814.15,0
2020-01-09,10:15:00,31808.7,31977.4,31808.65,31953.05,0
2020-01-09,11:15:00,31944.75,32061.65,31909.4,32054.2,0
2020-01-09,12:15:00,32051.95,32104.35,32000.95,32096.55,0
2020-01-09,13:15:00,32094.2,32172.35,32054.5,32080.05,0
2020-01-09,14:15:00,32080.0,32119.85,32049.25,32103.2,0
2020-01-09,15:15:00,32103.25,32109.65,32054.75,32071.55,0
2020-01-10,09:15:00,32215.7,32253.4,32051.05,32215.7,0
2020-01-10,10:15:00,32212.9,32325.1,32203.1,32312.4,0
2020-01-10,11:15:00,32312.6,32345.2,32268.65,32301.95,0
2020-01-10,12:15:00,32303.4,32314.2,32176.2,32217.75,0
2020-01-10,13:15:00,32221.15,32254.6,31997.45,32019.95,0
2020-01-10,14:15:00,32019.65,32133.9,31955.0,32103.7,0
2020-01-10,15:15:00,32102.55,32112.2,32069.4,32081.9,0
2020-01-13,09:15:00,32139.1,32322.65,32075.6,32215.05,0
2020-01-13,10:15:00,32215.8,32272.3,32165.4,32206.65,0
2020-01-13,11:15:00,32205.5,32247.3,32187.9,32242.85,0
2020-01-13,12:15:00,32243.0,32265.7,32120.9,32128.35,0
2020-01-13,13:15:00,32129.5,32172.2,32082.3,32105.15,0
2020-01-13,14:15:00,32103.1,32197.85,32075.95,32167.85,0
2020-01-13,15:15:00,32167.55,32215.55,32165.35,32198.2,0
2020-01-14,09:15:00,32196.45,32196.45,32029.05,32041.55,0
2020-01-14,10:15:00,32042.85,32090.0,31989.8,32018.75,0
2020-01-14,11:15:00,32019.65,32111.95,32005.25,32102.1,0
2020-01-14,12:15:00,32102.4,32147.95,32071.9,32079.3,0
2020-01-14,13:15:00,32080.6,32162.55,32019.35,32037.4,0
2020-01-14,14:15:00,32038.5,32144.55,32006.5,32065.75,0
2020-01-14,15:15:00,32066.25,32081.25,32043.8,32061.45,0
2020-01-15,09:15:00,31994.75,31997.3,31722.0,31737.8,0
2020-01-15,10:15:00,31736.6,31762.8,31700.65,31748.25,0
2020-01-15,11:15:00,31747.15,31792.05,31716.95,31718.55,0
2020-01-15,12:15:00,31717.8,31744.25,31693.3,31725.2,0
2020-01-15,13:15:00,31726.7,31750.85,31671.5,31720.6,0
2020-01-15,14:15:00,31720.6,31826.65,31708.7,31822.9,0
2020-01-15,15:15:00,31823.15,31853.7,31822.05,31835.85,0
2020-01-16,09:15:00,31810.55,31988.4,31810.55,31922.65,0
2020-01-16,10:15:00,31922.75,31928.9,31695.95,31721.15,0
2020-01-16,11:15:00,31722.5,31782.25,31716.55,31753.95,0
2020-01-16,12:15:00,31756.6,31888.1,31735.7,31873.3,0
2020-01-16,13:15:00,31873.55,31937.8,31826.9,31920.9,0
2020-01-16,14:15:00,31919.3,31929.4,31822.2,31854.7,0
2020-01-16,15:15:00,31857.4,31863.65,31833.2,31849.45,0
2020-01-17,09:15:00,31571.65,31700.45,31454.35,31683.75,0
2020-01-17,10:15:00,31682.35,31772.5,31633.75,31683.85,0
2020-01-17,11:15:00,31682.65,31684.15,31597.25,31640.05,0
2020-01-17,12:15:00,31645.6,31713.25,31616.1,31698.5,0
2020-01-17,13:15:00,31697.65,31708.15,31626.8,31647.65,0
2020-01-17,14:15:00,31648.15,31653.7,31566.75,31601.0,0
2020-01-17,15:15:00,31601.2,31603.3,31549.65,31553.7,0
2020-01-20,09:15:00,31923.95,31923.95,31412.85,31455.7,0
2020-01-20,10:15:00,31454.25,31484.35,31357.25,31372.75,0
2020-01-20,11:15:00,31371.15,31444.25,31362.55,31393.75,0
2020-01-20,12:15:00,31392.8,31416.3,31200.3,31200.55,0
2020-01-20,13:15:00,31207.05,31309.45,31154.8,31157.0,0
